1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
131.0,647.0,2901.0,2201.0,301.0,2334.0,1711.0,3338.0,4441.0,3081.0,903.0,4186.0,2948.0,947.0,476.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,624.0,2809.0,2141.0,292.0,2213.0,1603.0,3161.0,4210.0,2918.0,867.0,4061.0,2890.0,899.0,448.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,579.0,2633.0,2043.0,273.0,2035.0,1443.0,2930.0,3922.0,2683.0,818.0,3839.0,2767.0,841.0,415.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,503.0,2365.0,1910.0,251.0,1823.0,1262.0,2648.0,3513.0,2396.0,745.0,3495.0,2625.0,775.0,373.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,432.0,2102.0,1774.0,221.0,1621.0,1101.0,2365.0,3135.0,2146.0,677.0,3185.0,2496.0,708.0,328.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,399.0,1982.0,1713.0,208.0,1511.0,1008.0,2229.0,2935.0,2022.0,630.0,3015.0,2418.0,676.0,307.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,388.0,1924.0,1689.0,199.0,1465.0,963.0,2167.0,2848.0,1971.0,613.0,2949.0,2381.0,665.0,300.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,387.0,1904.0,1680.0,196.0,1454.0,963.0,2145.0,2827.0,1965.0,607.0,2937.0,2371.0,663.0,300.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,386.0,1913.0,1682.0,197.0,1457.0,977.0,2150.0,2839.0,1977.0,609.0,2944.0,2375.0,665.0,300.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,397.0,1958.0,1701.0,201.0,1481.0,1005.0,2186.0,2895.0,2020.0,618.0,2990.0,2394.0,676.0,305.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0
