NodeELEC,NodeGAS,GenID,PrimeMover,Fuel,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,isRenewable,HeatRate,isNGFueled,EmissionsFactor,StartupCost,EconomicLifetime,Lifetime,StartupFuel,InstallYear,ForcedRetirement
42063,42063,WD021,Onshore wind,Wind,0,100,5,24,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42063,42063,SL021,Solar,Solar,0,50,10,363,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42099,42099,CS022,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42099,42099,CC022,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42099,42099,CT022,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42099,42099,GT022,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42099,42099,NC022,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42099,42099,WD022,Onshore wind,Wind,0,100,5,16,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42099,42099,SL022,Solar,Solar,0,50,10,165,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
9110,9110,CS023,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
9110,9110,CC023,Natural gas CC,Natural gas,0.17,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
9110,9110,CT023,Natural gas CT,Natural gas,0.39,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
9110,9110,GT023,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
9110,9110,NC023,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
9110,9110,HD023,Hydro,Hydro,0.08,100,0,500,0,1,1,1,1,1,1,0,0,0,0,100,100,0,0,0
9110,9110,WD023,Onshore wind,Wind,0,100,5,11,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
9110,9110,SL023,Solar,Solar,1.25,50,10,363,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42051,42051,CS024,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42051,42051,CC024,Natural gas CC,Natural gas,1.02,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42051,42051,CT024,Natural gas CT,Natural gas,0.88,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42051,42051,GT024,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42051,42051,NC024,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42051,42051,WD024,Onshore wind,Wind,0.65,100,1,1,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42051,42051,SL024,Solar,Solar,0,50,10,235,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
